stop_name,stop_name_kn
ARMY Public School ASC Center,ಆರ್ಮಿ ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್ ಎಎಸ್ಸಿ ಸೆಂಟರ್
ASC Centre,ಎಎಸ್ಸಿ ಸೆಂಟರ್
Aane Kempegowdana Doddy,ಆನೆ ಕೆಂಪೇಗೌಡನ ದೊಡ್ಡಿ
Abbaiah Circle Sarjapura,ಅಬ್ಬಯ್ಯ ಸರ್ಕಲ್ ಸರ್ಜಾಪುರ
Abbaiah Layout,ಅಬ್ಬಯ್ಯ ಬಡಾವಣೆ
Abbanakuppe,ಅಬ್ಬನಕುಪ್ಪೆ
Abbanakuppe Colony,ಅಬ್ಬನಕುಪ್ಪೆ ಕಾಲೋನಿ
Abbanakuppe KEB,ಅಬ್ಬನಕುಪ್ಪೆ ಕೆಇಬಿ
Abbigere,ಅಬ್ಬಿಗೆರೆ
Abbigere Cross,ಅಬ್ಬಿಗೆರೆ ಕ್ರಾಸ್
Abbigere Dinne,ಅಬ್ಬಿಗೆರೆ ದಿಣ್ಣೆ
Abbigere Gate,ಅಬ್ಬಿಗೆರೆ ಗೇಟ್
Acharya College,ಆಚಾರ್ಯ ಕಾಲೇಜು
Acharya Institute of Technology,ಆಚಾರ್ಯ ತಾಂತ್ರಿಕ ಮಹಾವಿದ್ಯಾಲಯ
Achyuthanagara,ಅಚ್ಯುತನಗರ
Active Public School Hommadevanahalli,ಆಕ್ಟಿವ್ ಪಬ್ಲಿಕ್ ಸ್ಕೂಲ್ ಹೊಮ್ಮದೇವನಹಳ್ಳಿ
Adakamaranahalli,ಅಡಕಮಾರನಹಳ್ಳಿ
Adakamaranahalli Cross,ಅಡಕಮಾರನಹಳ್ಳಿ ಕ್ರಾಸ್
Adakimaranahalli,ಅಡಕಿಮಾರನಹಳ್ಳಿ
Adarshanagara,ಆದರ್ಶನಗರ
Adarshanagara Water Tank,ಆದರ್ಶನಗರ ವಾಟರ್‌ ಟ್ಯಾಂಕ್
Adde Vishwanathapura,ಅದ್ದೆ ವಿಶ್ವನಾಥಪುರ
Addiganahalli,ಅದ್ದಿಗಾನಹಳ್ಳಿ
Addiganahalli Extension,ಅದ್ದಿಗಾನಹಳ್ಳಿ ಎಕ್ಸ್‌ ಟೆನ್‌ಷನ್
Addiganahalli Extension 1,ಅದ್ದಿಗಾನಹಳ್ಳಿ ಎಕ್ಸ್ಟೆನ್ಶನ್ 1
Adigara Kallahalli,ಅಡಿಗಾರ ಕಲ್ಲಹಳ್ಳಿ
